Brand,Model,Year,Status,Mileage,Dealer,Price,Age,PriceRange,Yearly_Miles
bmw,m340,2024,new,0.0,BMW of The Woodlands,66355.0,0,$60000-69999,
kia,telluride,2020,used,69185.0,"Arapahoe KIA - Delivery from Denver, CO (Houston)",37440.0,4,$30000-39999,17296.25
kia,forte,2018,used,47466.0,"Arapahoe KIA - Delivery from Denver, CO (Houston)",13947.0,6,$10000-19999,7911.0
audi,a7,2023,used,5130.0,MINI of The Woodlands,63498.0,1,$60000-69999,5130.0
bmw,x3,2023,new,0.0,Advantage BMW Midtown,51925.0,1,$50000-59999,0.0
bmw,x5,2024,new,0.0,Advantage BMW Midtown,107995.0,0,$100000-109999,
bmw,330 i,2023,new,0.0,Advantage BMW Midtown,47635.0,1,$40000-49999,0.0
bmw,ix xdrive50,2024,new,0.0,Advantage BMW Midtown,99095.0,0,$90000-99999,
bmw,740,2023,new,0.0,Advantage BMW Midtown,99240.0,1,$90000-99999,0.0
nissan,juke,2011,used,107791.0,Advantage BMW Midtown,8784.0,13,$0-9999,8291.62
cadillac,ct6,2019,used,63436.0,Gullo Ford of Conroe - The Woodlands,36995.0,5,$30000-39999,12687.2
ford,bronco,2023,new,0.0,Gullo Ford of Conroe - The Woodlands,57945.0,1,$50000-59999,0.0
mazda,cx-5,2024,new,0.0,Gullo Mazda,35935.0,0,$30000-39999,
mazda,cx-5,2024,new,0.0,Gullo Mazda,35485.0,0,$30000-39999,
mazda,cx-5,2023,new,0.0,Gullo Mazda,30470.0,1,$30000-39999,0.0
mazda,mazda3,2023,new,0.0,Gullo Mazda,29916.0,1,$20000-29999,0.0
ford,f-150,2022,used,13722.0,Keating Honda,63148.0,2,$60000-69999,6861.0
chevrolet,camaro,2018,used,15486.0,Keating Honda,58997.0,6,$50000-59999,2581.0
honda,accord,2023,new,0.0,Keating Honda,39440.0,1,$30000-39999,0.0
ford,f-150,2017,used,40271.0,Keating Honda,39395.0,7,$30000-39999,5753.0
ford,ranger,2023,new,0.0,Tommie Vaughn Ford,47010.0,1,$40000-49999,0.0
ford,explorer,2022,new,0.0,Tommie Vaughn Ford,46995.0,2,$40000-49999,0.0
ford,fusion,2007,used,157965.0,Ella Blvd Motors,7650.0,17,$0-9999,9292.06
chevrolet,ls,2009,used,152076.0,Ella Blvd Motors,12150.0,15,$10000-19999,10138.4
ram,2500,2023,used,355.0,Motor Trends of Houston,94663.0,1,$90000-99999,355.0
jeep,gladiator,2023,new,0.0,Southern Chrysler Dodge Jeep,41139.0,1,$40000-49999,0.0
jeep,wrangler,2024,new,0.0,Southern Chrysler Dodge Jeep,47045.0,0,$40000-49999,
jeep,grand cherokee,2023,new,0.0,Southern Chrysler Dodge Jeep,63600.0,1,$60000-69999,0.0
audi,q5,2020,certified,20456.0,Audi Central Houston,34996.0,4,$30000-39999,5114.0
toyota,highlander,2019,used,76328.0,Grubbs Volvo Cars of Central Houston,28499.0,5,$20000-29999,15265.6
volkswagen,atlas,2021,certified,20847.0,Momentum Volkswagen of Upper Kirby,33497.0,3,$30000-39999,6949.0
jeep,wrangler,2023,new,0.0,River Oaks Chrysler Jeep Dodge RAM,64770.0,1,$60000-69999,0.0
mercedes,gle,2024,new,0.0,Star Motor Cars,70165.0,0,$70000-79999,
mercedes,gle,2024,new,0.0,Star Motor Cars,77240.0,0,$70000-79999,
jeep,wrangler,2024,new,0.0,AutoNation Chrysler Dodge Jeep Ram Houston,34991.0,0,$30000-39999,
volkswagen,atlas,2021,used,16785.0,AutoNation Chrysler Dodge Jeep Ram Houston,37998.0,3,$30000-39999,5595.0
jeep,wagoneer,2023,new,0.0,AutoNation Chrysler Dodge Jeep Ram Houston,74999.0,1,$70000-79999,0.0
chevrolet,silverado,2024,new,0.0,Davis Chevrolet,65830.0,0,$60000-69999,
chevrolet,trax,2024,new,0.0,Davis Chevrolet,24790.0,0,$20000-29999,
mercedes,gla,2023,new,0.0,Mercedes-Benz of Houston Greenway,43825.0,1,$40000-49999,0.0
mercedes,g 550,2019,certified,44237.0,Mercedes-Benz of Houston Greenway,122998.0,5,$120000-129999,8847.4
audi,e-tron,2021,used,11845.0,Mercedes-Benz of Houston Greenway,47998.0,3,$40000-49999,3948.33
mercedes,s-class,2022,new,0.0,Mercedes-Benz of Houston Greenway,128435.0,2,$120000-129999,0.0
mercedes,s-class,2022,new,0.0,Mercedes-Benz of Houston Greenway,135345.0,2,$130000-139999,0.0
chevrolet,tahoe,2015,used,85745.0,Mercedes-Benz of Houston Greenway,27562.0,9,$20000-29999,9527.22
mercedes,s-class,2023,new,0.0,Mercedes-Benz of Houston Greenway,133795.0,1,$130000-139999,0.0
audi,6,2023,used,4431.0,Mercedes-Benz of Houston Greenway,126998.0,1,$120000-129999,4431.0
honda,cr-v,2020,certified,17392.0,Russell & Smith Honda,33999.0,4,$30000-39999,4348.0
hyundai,elantra,2019,used,79764.0,Russell & Smith Honda,14230.0,5,$10000-19999,15952.8
lexus,gx,2020,used,62547.0,Russell & Smith Honda,38789.0,4,$30000-39999,15636.75
chevrolet,tahoe,2021,used,55067.0,Russell & Smith Honda,57648.0,3,$50000-59999,18355.67
honda,passport,2020,certified,19421.0,Russell & Smith Honda,29891.0,4,$20000-29999,4855.25
mazda,cx-5,2017,used,49831.0,Russell & Smith Honda,20700.0,7,$20000-29999,7118.71
